image_id,label
sun_aaasertfihkcjvdd.jpg,manmade
sun_aacfrhytikkutehw.jpg,manmade
sun_aaktfbbtunkmuigp.jpg,manmade
sun_aalizhzvynldxzuz.jpg,natural
sun_aapgbstqtperfdda.jpg,natural
sun_aaslhqptbnesgqqa.jpg,manmade
sun_aauejrawtzkkrtek.jpg,natural
sun_aauevrocldhsvfuv.jpg,natural
sun_aavmchfjuxkpmnuv.jpg,natural
sun_abaphnxfsvmfyswq.jpg,manmade
sun_abapoetlexbixnxd.jpg,natural
sun_abbwcnknctlkzvxj.jpg,manmade
sun_abcravnfiujxjjqo.jpg,natural
sun_abfelgkioejrcugp.jpg,manmade
sun_abhubrdcotjxykwa.jpg,manmade
sun_abifulbsubnmkgek.jpg,natural
sun_abljhytlyqmpjqco.jpg,natural
sun_aboufiwvrisivsto.jpg,manmade
sun_abpycgxuwcrdvhuu.jpg,natural
sun_abrkavahmpmjouxn.jpg,natural
sun_acdcdyslshmuqkkc.jpg,natural
sun_acdhtehhvcztypyi.jpg,natural
sun_aciogupxrimayjmk.jpg,natural
sun_acjrjuvldtsjqdri.jpg,manmade
sun_acoikyfqpgaxzupw.jpg,manmade
sun_acpxpptvngiwlxvy.jpg,natural
sun_actojnduntfubowp.jpg,manmade
sun_actrxglzfmhqxvzs.jpg,manmade
sun_actsfskkwgfsvsje.jpg,manmade
sun_acudluzeadhphemb.jpg,manmade
sun_acumhifjbjnytyth.jpg,manmade
sun_acxdijcmkawhkhob.jpg,natural
sun_adbhgoutrrryfwya.jpg,natural
sun_adeeublvfvdkgegg.jpg,natural
sun_adgrxgxkwzynobeq.jpg,natural
sun_adipubswapszydgc.jpg,natural
sun_adlijekeylydmvfh.jpg,natural
sun_adohktpblbjsuugn.jpg,natural
sun_adouftgdrzsideja.jpg,natural
sun_adpkybmmdryewgqx.jpg,manmade
sun_adzulrsuqyxlduvg.jpg,manmade
sun_aeaquioaeztnvcgd.jpg,natural
sun_aecbdfghnmqrcpsn.jpg,natural
sun_aedoqxondjpzptwx.jpg,natural
sun_aefgfkxfvzwcjunm.jpg,natural
sun_aekhszyyonbgreke.jpg,manmade
sun_aeldkedqeopyedlo.jpg,natural
sun_aellatipizmphwee.jpg,natural
sun_aenplgiffjundqtl.jpg,natural
sun_aenxmdfrmscgtmei.jpg,natural
sun_aenxuqiabiderulj.jpg,natural
sun_aeqbtnsgwtjohxky.jpg,manmade
sun_aetgmsnvybnfemcz.jpg,manmade
sun_aetoqpebhuezezpk.jpg,manmade
sun_aeunztfatpchehze.jpg,manmade
sun_aexxsigqdyibvfev.jpg,manmade
sun_aeyeilfqxmqncaqn.jpg,manmade
sun_affyvszgwamwlyyy.jpg,natural
sun_afhkqgbquochtoin.jpg,manmade
sun_afkzmmcpnlzldkqi.jpg,manmade
sun_aflltnelhxzuvgpn.jpg,manmade
sun_afpcaiuwcnsmxcdo.jpg,manmade
sun_afqnlyxxgdxikkpn.jpg,natural
sun_afwfxsqbnhcwzjzz.jpg,manmade
sun_agcykbrgtrrufclq.jpg,natural
sun_aggdmohbkywnjcho.jpg,manmade
sun_agglppfdhvzqbiud.jpg,manmade
sun_aghgnaxbqsiwukrq.jpg,manmade
sun_aghzasltbjyydgbz.jpg,manmade
sun_agkhdmuzkdudqpgi.jpg,natural
sun_agrqmfpjfymaujyu.jpg,manmade
sun_agtpyiscmdidhpgk.jpg,manmade
sun_agwmiqwlreupuwqs.jpg,natural
sun_agwpnbjmldnxlaei.jpg,natural
sun_agyforanugtijxll.jpg,manmade
